Ground sensor left,Ground sensor middle,Ground sensor right,proximity sensor 0,proximity sensor 1,proximity sensor 2,proximity sensor 5,proximity sensor 6,proximity sensor 7,velocity left,velocity right
0.3002196001347595,0.300556076137912,0.30165545622924267,0.06366198639276853,0.06972902373751984,0.06376468656476413,0.06676852741590988,0.07148557095442981,0.06998390175304829,1.4,2
0.30032468131434636,0.301318428921703,0.3020315052439067,0.06580231044871362,0.06504791981242943,0.06282291828000744,0.0674289619275618,0.0644786499740601,0.06338677652571192,1.4,2
0.8362170621136354,0.8409657177808483,0.8405976518355158,0.05889512668185592,0.06927001688675019,0.07109819316326478,0.07275844863056023,0.07189432167303846,0.06589048608150355,1.4,2
0.6455837918148972,0.6489073069049353,0.6407358376077068,0.06135353119302679,0.0698331272980764,0.06533383297651572,0.06878820378143172,0.06328438795592842,0.06342266960946912,1.4,2
0.5162997011705943,0.5269131645255783,0.5181711950083412,0.06815500764082111,0.06660973873555463,0.0603387528670366,0.0669959015875068,0.0671129761903214,0.07345421843247843,0.27458976973016624,1.7511816640309021
0.44560913150550685,0.4453992730007065,0.4677400221364096,0.0707336362441394,0.06976329198996213,0.0675103607706691,0.06206946648486711,0.06630708791724883,0.06828440776068838,1.3779720999382874,1.3760211589369185
0.39582643587390987,0.39041331544606456,0.4240480113429483,0.06598725132236256,0.06981161686957132,0.07083771848343014,0.06702902438839967,0.06397857443854257,0.0627770968956903,0.6266004137112144,1.0403482031939557
0.36176101079344863,0.35985482068817803,0.37120527738968645,0.06577056237111917,0.06924433567175825,0.06575628917288054,0.07041759489663002,0.06798643925551187,0.07249250264138178,2,2
0.3323663332925431,0.32983363464777926,0.34020810591349027,0.06359491020911424,0.07076433702472498,0.06248480808713583,0.07007303290827403,0.06685697985101849,0.07137169846118785,2,2
0.3144721281549618,0.3195791947815661,0.3232221007714505,0.07164057179342885,0.06700692401750649,0.061604553942704476,0.06493063205367022,0.06493473809872777,0.06984891334879892,1.4,2
0.3384019137585757,0.31738835026633366,0.33752084891125583,0.06658705531443566,0.06400172385323336,0.06843477205938384,0.06273852068767644,0.06470579087942907,0.06482585171743116,2,2
0.3120176875924055,0.3174818898600916,0.3257233023003425,0.06810623313004513,0.06947435152469841,0.06481653064506779,0.06768694847738888,0.06826566612316678,0.06397709063975364,1.4,2
0.3259101067627308,0.32008801165238016,0.31801757964849525,0.06784275555263676,0.0649620656935114,0.06653523061676134,0.06514656801546888,0.06748781510112907,0.07089638077656744,2,1.4
0.3151932499515002,0.3101919540863696,0.31988375330025426,0.07166891987614185,0.07279515824438434,0.06888363469423107,0.07044373551592953,0.0677424801385245,0.061935876407789615,2,2
0.49997064842626326,0.29846995994967934,0.30302434409211226,0.06780903489616884,0.07558882724563257,0.06868228232622985,0.06908951836223978,0.06469805490636144,0.06268107003666093,2,2
0.4795208323458931,0.3000576547954556,0.30003529386395256,0.06966056359446349,0.0726940375791872,0.06617111906584984,0.06651169494972697,0.07029119634312704,0.06880899272795173,2,1.4
0.6002887663886225,0.3170708052654505,0.3262355448860664,0.06834520883388896,0.06866287926118123,0.058753932598584885,0.056089504058657855,0.07021637712217184,0.06705204824742592,2,2
0.5172945259007203,0.2999112847886417,0.2995639835398562,0.0637031167050442,0.06469402976096213,0.06248991501690449,0.06981582691180764,0.06718394327187732,0.06389999329838732,2,1.4
