Ground sensor left,Ground sensor middle,Ground sensor right,proximity sensor 0,proximity sensor 1,proximity sensor 2,proximity sensor 5,proximity sensor 6,proximity sensor 7,velocity left,velocity right,forward fitness,follow line fitness, avoid collision fitness, spinning fitness,combined fitness
0.45137621160540203,0.4062136237323897,0.4454018267173617,0.063691752107747,0.06838668873891594,0.06647938591874321,0.0690394925886022,0.06855129583726476,0.07054405895254771,0.04342731806379674,1.6269301405708263,11.692502210442361,29.378637626761027,1.0,100.0,63.4734336812778
0.45137621160540203,0.4062136237323897,0.4454018267173617,0.063691752107747,0.06838668873891594,0.06647938591874321,0.0690394925886022,0.06855129583726476,0.07054405895254771,0.04342731806379674,1.6269301405708263,11.692502210442361,29.378637626761027,1.0,100.0,63.4734336812778
0.30531194392806876,0.3074643969440048,0.26198657002392395,0.06467508271681978,0.060565322525544356,0.06875561793732511,0.0713330764883157,0.06559106839578012,0.06355662363237798,2.0,1.4,23.8,43.8013429976076,1.0,100.0,78.18080579856456
0.30531194392806876,0.3074643969440048,0.26198657002392395,0.06467508271681978,0.060565322525544356,0.06875561793732511,0.0713330764883157,0.06559106839578012,0.06355662363237798,2.0,1.4,23.8,43.8013429976076,1.0,100.0,78.18080579856456
0.3015320023660639,0.31032289502867955,0.31011743699111033,0.06539623799550752,0.0649144623279337,0.07521104589562669,0.0654791628813629,0.06375087990994552,0.06580102919169518,1.4,2.0,23.8,39.846799763393605,1.0,100.0,75.80807985803617
0.3015320023660639,0.31032289502867955,0.31011743699111033,0.06539623799550752,0.0649144623279337,0.07521104589562669,0.0654791628813629,0.06375087990994552,0.06580102919169518,1.4,2.0,23.8,39.846799763393605,1.0,100.0,75.80807985803617
0.2811620644783083,0.3226534579110508,0.323215368548557,0.05964248814652188,0.06514110930038104,0.06816318318806723,0.06392645329183547,0.06811971716535942,0.06311820613072137,1.4,2.0,23.8,41.883793552169166,1.0,100.0,77.03027613130149
0.2811620644783083,0.3226534579110508,0.323215368548557,0.05964248814652188,0.06514110930038104,0.06816318318806723,0.06392645329183547,0.06811971716535942,0.06311820613072137,1.4,2.0,23.8,41.883793552169166,1.0,100.0,77.03027613130149
0.3088029385349421,0.3370680692388007,0.326205351546124,0.07033865300189959,0.06821590420253701,0.06312546782129445,0.06913066411298531,0.06482478636545695,0.06416351501064017,1.4,2.0,23.8,39.119706146505784,1.0,100.0,75.37182368790347
0.3088029385349421,0.3370680692388007,0.326205351546124,0.07033865300189959,0.06821590420253701,0.06312546782129445,0.06913066411298531,0.06482478636545695,0.06416351501064017,1.4,2.0,23.8,39.119706146505784,1.0,100.0,75.37182368790347
